resample,sd,min,max,q0.95,q0.99,q0.995,weights_ratio
1,0.5264973059208166,0.7251967330363867,4.5047802187977855,2.6152279189358048,2.9690491786948447,3.9811665054286163,6.211804347127083
2,0.46036113646188487,0.7309167115161952,3.2836399332916595,2.5092340637823645,3.2382393580156617,3.2836399332916595,4.492495357617641
3,0.5244924734013853,0.6725492930273999,5.05660214912903,2.4985476526361556,3.083825478263887,3.083825478263887,7.518559905649953
4,0.49994737823251756,0.6874386044967987,4.400807890652669,2.1598196024778478,3.4152520500594763,3.9527594197418296,6.401746805991549
5,0.5856602689317656,0.5241906136259604,6.0184553136341465,2.4711535167110292,3.8961940341822676,3.8961940341822676,11.481425186160724
6,0.4777447395652409,0.6888644881241507,4.293968127847319,2.2696699780209686,2.6745384180950764,3.7546297737621184,6.233400330361402
7,0.5303446177621979,0.6948500161735065,4.938428533618182,2.2391139440148273,3.345261452547183,4.291870235535621,7.107186326070457
8,0.45730424628629746,0.7310895576298332,3.5931892708767834,2.525326670259435,2.587291966750703,3.507132868514607,4.914841462824032
9,0.5120405366667833,0.7105810177764746,4.5886232815972665,2.5024953870547466,2.7411578063305124,4.189108911792662,6.457565241407414
10,0.4615834835981429,0.7043860935288156,3.443089081492813,2.47942329264863,2.8083317237640397,3.443089081492813,4.888070779824332
11,0.5140195523237602,0.6605681915900865,4.281960177141834,2.3756672556005403,3.2203900168365784,3.5096726836218393,6.482237915262791
12,0.4758554438601433,0.6660809474621928,3.778100289464612,2.102379657532173,3.0059741887052227,3.778100289464612,5.672133850787047
13,0.5247166730323902,0.6480638842004044,4.569102680401511,2.489056191278738,3.1762517156048347,4.569102680401511,7.0503893085154274
14,0.5537143069972676,0.6538881330472867,5.428340954369058,2.4701243622760485,2.932596713148304,4.572288162913773,8.301635524522512
15,0.4526481773314144,0.661639323113334,3.454022977920388,2.21777425273703,3.0260561269607145,3.0260561269607145,5.220401595339791
16,0.5208022273544737,0.6732230431073641,4.614076580770097,2.409256628663968,2.7916434478995296,3.9820610313783917,6.853711601244543
17,0.5128314394826314,0.6943541616432906,4.431263653680898,2.2975753602320035,3.1033046744578274,3.702480734425051,6.381849347879856
18,0.47399858798063993,0.7106164031396551,3.695041946920809,2.4343309358444656,3.479251602425035,3.695041946920809,5.199770129981976
19,0.4887478472711011,0.667856289541444,4.091161726500598,2.3431324378177116,2.597782325238643,3.9000214382199916,6.125811481553352
20,0.5596414026439722,0.5262171038063345,5.013675877329244,2.1469767262789947,4.054265406329578,4.054265406329578,9.527770650295025
21,0.5528921570308,0.5717242663856013,4.8887505321119145,2.5528488594086913,3.2752006695981346,4.8887505321119145,8.550888635562446
22,0.49687051158323636,0.7020759951489366,4.014837770089971,2.31144248505691,3.0394812209263784,3.4439558858898547,5.718523062789341
23,0.5191733810771811,0.6332774051398055,4.3646994819701,2.396073271950666,3.014534732787735,3.6553803226888673,6.892239398635306
24,0.5198208531796513,0.6958083252703138,4.429344956782183,2.3687124793794796,3.2484274656171612,4.3448439594068775,6.365754469898635
25,0.5550474064162905,0.6120416529089928,4.750861967805124,2.1603784323127755,3.0930943151114376,4.465034807074188,7.762318046859386
26,0.4838285456516433,0.6899501866380955,4.072313266426607,2.3792619182413732,2.6470705649453308,3.8811634110695667,5.902329393183695
27,0.6131144145590336,0.4767199778988111,5.933151749031194,1.899080416962918,4.329905831410349,4.602457637405827,12.445779543752556
28,0.4976934075346215,0.7040081849115856,3.995535285867725,2.4730439881207986,3.1389168123547817,3.9512785704324904,5.675410274341503
29,0.5221073852091646,0.6733704536728717,4.8672849604829045,2.5321841499,2.8475807107275366,3.0918807494053886,7.228242543067485
30,0.5276433817840548,0.6941335100464474,5.255945011750286,2.3619040939779077,2.6407902590041177,3.5480601083620575,7.571951124213249
31,0.47181027336977993,0.694962297787348,3.3496067285864313,2.5454068492725526,3.2145100118699754,3.3496067285864313,4.819839492373988
32,0.4514255972139568,0.7055648026117048,3.4940447265666266,2.3679052767109603,2.4902422171391416,3.3223944595261563,4.952124473376704
33,0.45514060151600544,0.7022593725124043,3.161540265734167,2.181793278113543,2.8183961540175675,3.161540265734167,4.501955245429385
34,0.5323855818981045,0.6180176436864041,4.3502353775254035,2.4221197359333,3.1878533952161736,4.3502353775254035,7.039014859797125
35,0.5279140191589361,0.6905015531954942,4.518489802896613,2.476757654717277,3.249993476035922,3.908826866852694,6.543779347035505
36,0.5241880136434743,0.6750000765659573,4.7888843685005815,2.545362056333815,2.75279727284831,3.0292092136521975,7.094642704136994
37,0.582394281919282,0.5476580737427565,5.964614055367677,2.147063313983668,3.4443426927983385,3.4443426927983385,10.891127769932865
38,0.47348869364775803,0.7084761376316079,3.5424765701465866,2.235493029017241,2.7912369979054343,3.5424765701465866,5.000135335522898
39,0.5067948324874029,0.615703550220168,4.024212492771805,2.50102585113685,2.621212554625946,4.024212492771805,6.535957915676784
40,0.6012987175349973,0.48881164683795036,5.844876238459778,1.791263055693022,4.107675374235199,4.107675374235199,11.95731786725912
41,0.5289182718411396,0.5727770019451864,4.560843932018735,2.3686108619094792,3.4450687327632905,4.560843932018735,7.962686903506643
