province,size_municipality,n,prop_863
Barcelona,<2.000,15,0.011210762331838564
Barcelona,2.001-10.000,116,0.08669656203288491
Barcelona,10.001-50.000,228,0.17040358744394618
Barcelona,50.001-150.000,189,0.1412556053811659
Barcelona,150.001-1.000.000,153,0.11434977578475336
Barcelona,>1.000.000,267,0.19955156950672645
Girona,<2.000,20,0.014947683109118086
Girona,2.001-10.000,35,0.026158445440956652
Girona,10.001-50.000,62,0.04633781763826607
Girona,50.001-150.000,18,0.013452914798206279
Lleida,<2.000,22,0.016442451420029897
Lleida,2.001-10.000,25,0.01868460388639761
Lleida,10.001-50.000,11,0.008221225710014948
Lleida,50.001-150.000,27,0.020179372197309416
Tarragona,<2.000,16,0.01195814648729447
Tarragona,2.001-10.000,39,0.02914798206278027
Tarragona,10.001-50.000,51,0.03811659192825112
Tarragona,50.001-150.000,44,0.03288490284005979
